accomodarsi	Indicativo	Presente	1s	mi accomodo
accomodarsi	Indicativo	Presente	2s	ti accomodi
accomodarsi	Indicativo	Presente	3s	si accomoda
accomodarsi	Indicativo	Presente	1p	ci accomodiamo
accomodarsi	Indicativo	Presente	2p	vi accomodate
accomodarsi	Indicativo	Presente	3p	si accomodano
accomodarsi	Indicativo	Passato Prossimo	1s	mi sono accomodato
accomodarsi	Indicativo	Passato Prossimo	2s	ti sei accomodato
accomodarsi	Indicativo	Passato Prossimo	3s	si è accomodato
accomodarsi	Indicativo	Passato Prossimo	1p	ci siamo accomodati
accomodarsi	Indicativo	Passato Prossimo	2p	vi siete accomodati
accomodarsi	Indicativo	Passato Prossimo	2p	si sono accomodati
accomodarsi	Indicativo	Imperfetto	1s	mi accomodavo
accomodarsi	Indicativo	Imperfetto	2s	ti accomodavi
accomodarsi	Indicativo	Imperfetto	3s	si accomodava
accomodarsi	Indicativo	Imperfetto	1p	ci accomodavamo
accomodarsi	Indicativo	Imperfetto	2p	vi accomodavate
accomodarsi	Indicativo	Imperfetto	3p	si accomodavano
accomodarsi	Indicativo	Trapassato Prossimo	1s	mi ero accomodato
accomodarsi	Indicativo	Trapassato Prossimo	2s	ti eri accomodato
accomodarsi	Indicativo	Trapassato Prossimo	3s	si era accomodato
accomodarsi	Indicativo	Trapassato Prossimo	1p	ci eravamo accomodati
accomodarsi	Indicativo	Trapassato Prossimo	2p	vi eravate accomodati
accomodarsi	Indicativo	Trapassato Prossimo	3p	si erano accomodati
accomodarsi	Indicativo	Passato Remoto	1s	mi accomodai
accomodarsi	Indicativo	Passato Remoto	2s	ti accomodasti
accomodarsi	Indicativo	Passato Remoto	3s	si accomodò
accomodarsi	Indicativo	Passato Remoto	1p	ci accomodammo
accomodarsi	Indicativo	Passato Remoto	2p	vi accomodaste
accomodarsi	Indicativo	Passato Remoto	3p	si accomodarono
accomodarsi	Indicativo	Futuro Semplice	1s	mi accomoderò
accomodarsi	Indicativo	Futuro Semplice	2s	ti accomoderai
accomodarsi	Indicativo	Futuro Semplice	3s	si accomoderà
accomodarsi	Indicativo	Futuro Semplice	1p	ci accomoderemo
accomodarsi	Indicativo	Futuro Semplice	2p	vi accomoderete
accomodarsi	Indicativo	Futuro Semplice	3p	si accomoderanno
accomodarsi	Indicativo	Futuro Anteriore	1s	mi sarò accomodato
accomodarsi	Indicativo	Futuro Anteriore	2s	ti sarai accomodato
accomodarsi	Indicativo	Futuro Anteriore	3s	si sarà accomodato
accomodarsi	Indicativo	Futuro Anteriore	1p	ci saremo accomodati
accomodarsi	Indicativo	Futuro Anteriore	2p	vi sarete accomodati
accomodarsi	Indicativo	Futuro Anteriore	3p	si saranno accomodati
accomodarsi	Congiuntivo	Presente	1s	mi accomodi
accomodarsi	Congiuntivo	Presente	2s	ti accomodi
accomodarsi	Congiuntivo	Presente	3s	si accomodi
accomodarsi	Congiuntivo	Presente	1p	ci accomodiamo
accomodarsi	Congiuntivo	Presente	2p	vi accomodiate
accomodarsi	Congiuntivo	Presente	3p	si accomodino
accomodarsi	Congiuntivo	Passato	1s	mi sia accomodato
accomodarsi	Congiuntivo	Passato	2s	ti sia accomodato
accomodarsi	Congiuntivo	Passato	3s	si sia accomodato
accomodarsi	Congiuntivo	Passato	1p	ci siamo accomodati
accomodarsi	Congiuntivo	Passato	2p	vi siate accomodati
accomodarsi	Congiuntivo	Passato	3p	si siano accomodati
accomodarsi	Congiuntivo	Imperfetto	1s	mi accomodassi
accomodarsi	Congiuntivo	Imperfetto	2s	ti accomodassi
accomodarsi	Congiuntivo	Imperfetto	3s	si accomodasse
accomodarsi	Congiuntivo	Imperfetto	1p	ci accomodassimo
accomodarsi	Congiuntivo	Imperfetto	2p	vi accomodaste
accomodarsi	Congiuntivo	Imperfetto	3p	si accomodassero
accomodarsi	Congiuntivo	Trapassato	1s	mi fossi accomodato
