adesso	Adverb
agenzia	Substantiv
anche	Konjunktion
arrivederci	Interjektion
bici	Substantiv
buonanotte	Interjektion
buonasera	Interjektion
buongiorno	Interjektion
cd	Substantiv
che	Pronomen
check-in	Substantiv
ci	Pronominalpartikel
cin-cin	Interjektion
destra	Substantiv
giù	Adverb
hotel	Substantiv
in	Präposition
lì	Adverb
me	Pronomen
nessuno	Pronomen
occhiale	Substantiv
po’	Adverb
segreteria	Substantiv
sinistra	Substantiv
spaghetto	Substantiv
stop	Substantiv
su	Adverb
ti	Pronomen
tv	Substantiv
un	Artikel
voi	Pronomen
adulta	Adjektiv
adulta	Substantiv
altro	Pronomen
altro	Adjektiv
anziana	Adjektiv
anziana	Substantiv
asciugarsi	Verb
basta	Interjektion
camper	Substantiv
che	Konjunktion
ci	Pronomen
cioccolato	Substantiv
colorare	Verb
complimento	Substantiv
dettato	Substantiv
dimenticarsi	Verb
freezer	Substantiv
ginnastica	Substantiv
identità	Substantiv
inutile	Adjektiv
li	Pronomen
mensa	Substantiv
merenda	Substantiv
mobile	Substantiv
motorino	Substantiv
nostalgia	Substantiv
ok	Interjektion
salato	Adjektiv
saldo	Substantiv
salsa	Substantiv
salve	Interjektion
sandalo	Substantiv
shampoo	Substantiv
sporcare	Verb
stasera	Adverb
stiro	Substantiv
su	Präposition
sud	Substantiv
suo	Adjektiv
suo	Pronomen
tennis	Substantiv
tortellino	Substantiv
virgola	Substantiv
water	Substantiv
acconto	Substantiv
affettuoso	Adjektiv
aspro	Adjektiv
attentamente	Adverb
bagnare	Verb
bagnarsi	Verb
beh	Interjektion
bilocale	Substantiv
bollente	Adjektiv
cassettiera	Substantiv
cerotto	Substantiv
certamente	Adverb
cliccare	Verb
complemento	Substantiv
complicare	Verb
comunicare	Verb
condizionare	Verb
condoglianza	Substantiv
connettersi	Verb
contattare	Verb
contemporaneo	Adjektiv
cordiale	Adjektiv
cordialmente	Adverb
crepare	Verb
cui	Pronomen
curriculum vitae	Substantiv
deprimere	Verb
dialetto	Substantiv
diario	Substantiv
diplomarsi	Verb
direttamente	Adverb
discesa	Substantiv
disoccupata	Adjektiv
disoccupata	Substantiv
dispensa	Substantiv
disperare	Verb
documentario	Substantiv
dopodomani	Adverb
dunque	Konjunktion
egregio	Adjektiv
eh	Interjektion
emozione	Substantiv
estroverso	Adjektiv
fantastico	Adjektiv
feria	Substantiv
fiction	Substantiv
finalmente	Adverb
friggere	Verb
generalmente	Adverb
giardinaggio	Substantiv
idraulico	Substantiv
impaziente	Adjektiv
impegnare	Verb
impianto	Substantiv
improbabile	Adjektiv
improvvisamente	Adverb
incominciare	Verb
indimenticabile	Adjektiv
infine	Adverb
innamorarsi	Verb
insipido	Adjektiv
insomma	Adverb
interessarsi	Verb
introverso	Adjektiv
invece	Konjunktion
lotto	Substantiv
maestra	Substantiv
master	Substantiv
mensola	Substantiv
mentre	Konjunktion
metropoli	Substantiv
minimo	Adjektiv
monolocale	Substantiv
musicale	Adjektiv
ne	Pronominalpartikel
né	Konjunktion
neanche	Adverb
