abitare	48
aceto	49
acqua	104
adesso	10
aereo	10
aeroplano	10
aeroporto	733
affetto	10
agenzia	534
agosto	10
albergo	61
albero	252
alfabeto	605
alto	106
amare	10
ambasciata	120
amica	10
amico	10
amore	73
andare	10
animale	1661
anno	10
appartamento	65
appuntamento	197
aprile	10
aprire	39
arrivare	10
arte	246
ascoltare	56
aspettare	10
attento	70
attenzione	64
augurio	79
autobus	35
autunno	10
avanti	36
avere	10
bacio	35
bagno	52
ballare	10
bambina	10
bambino	10
banca	230
bar	39
bello	42
bene	10
bere	53
bianco	10
bicchiere	71
bici	63
bicicletta	43
biglietto	77
biondo	49
birra	95
blu	36
borsa	233
bottiglia	70
bravo	64
buono	10
busta	45
caldo	49
calza	103
cambiare	56
camera	175
cameriera	10
cameriere	10
camicia	10
campagna	323
cane	65
cantare	44
canzone	68
capello	665
capire	10
cappotto	50
cappuccino	92
carne	40
caro	31
carta	83
cartolina	10
casa	128
castano	192
cd	274
cellulare	441
cena	84
cenare	42
centro	337
cercare	10
certo	10
check-in	156
chiamare	68
chiamarsi	10
chiave	264
chiesa	45
chiudere	10
cibo	55
cinema	71
classe	1035
cognome	77
colazione	37
colore	137
coltello	41
come	10
cominciare	10
compagna	10
compagno	340
compleanno	44
comprare	54
computer	987
consolato	291
conto	10
corso	10
corto	158
cosa	10
costare	73
credito	75
cucchiaio	43
cucina	40
dare	50
data	31
davanti	59
dentro	56
destra	129
dicembre	10
dietro	48
difficile	53
dire	10
doccia	30
documento	327
domanda	65
domandare	10
domani	40
domenica	10
donna	62
dopo	10
doppio	1248
dormire	10
dottore	176
dottoressa	188
dove	10
dovere	10
e-mail	69
entrare	10
esercizio	774
essere	10
estate	10
estero	451
euro	175
fabbrica	92
facile	54
falso	99
fame	319
famiglia	2364
fare	10
farmacia	187
favore	65
fax	62
febbraio	10
felice	229
femmina	50
fermata	56
festa	97
figlia	10
figlio	10
film	915
finestra	52
finire	40
fiore	254
forchetta	10
fotografia	171
francobollo	151
fratello	10
freddo	70
frutta	41
fumare	45
fuori	10
gatto	10
gennaio	10
gentile	80
giacca	10
giallo	10
giardino	64
giocare	461
giornale	10
giornata	191
giorno	10
giovane	38
giugno	10
gonna	84
grande	10
guardare	10
hobby	36
hotel	188
ieri	10
imparare	223
importante	85
incontrare	54
indietro	43
indirizzo	331
industria	118
informazione	233
insegnante	10
insegnare	10
intelligente	55
interessante	46
internazionale	778
internet	981
inverno	38
italiano	621
lago	363
largo	399
latte	65
lavorare	192
lavoro	147
leggere	10
lettera	56
letto	76
lezione	69
libro	38
lingua	434
lontano	32
luglio	10
lungo	60
macchina	92
madre	10
maggio	10
maglietta	10
maglione	30
magro	63
mai	10
malato	37
male	10
mamma	63
mangiare	72
mare	257
marito	10
marzo	10
maschio	147
matita	48
mattina	10
medicina	165
meno	10
mercato	162
mese	10
mettere	90
mezzanotte	10
mezzo	57
mezzogiorno	49
minuto	522
mio	10
moglie	10
molto	10
momento	10
montagna	853
morire	10
moto	414
motocicletta	169
museo	240
musica	52
nascere	10
Natale	91
nazione	348
negozio	76
nero	43
niente	10
no	1077
nome	72
non	10
nonna	10
nonno	10
notte	10
novembre	10
numero	133
nuovo	10
occhiale	161
oggi	179
olio	177
ombrello	37
ora	56
orologio	142
ospedale	60
ottobre	10
pacco	151
padre	10
pagare	50
pane	52
pantalone	40
parcheggio	90
parco	948
parlare	50
parola	10
partire	47
Pasqua	79
passaporto	141
pasta	30
penna	57
pepe	55
pesce	247
piacere	95
piano	264
pianta	1717
piatto	51
piazza	128
piccolo	157
piovere	10
pizza	58
pizzeria	38
po’	39
poco	10
polizia	128
pomeriggio	10
pomodoro	26
porta	118
portare	10
posta	323
posto	242
potere	273
pranzare	10
pranzo	10
prendere	35
prenotare	48
presto	10
prezzo	104
primavera	10
professore	60
professoressa	30
pulire	10
qua	84
quaderno	40
quadro	292
quando	10
quanto	10
quarto	10
quasi	10
quello	10
questo	10
qui	10
radio	384
ragazza	10
ragazzo	40
ricco	70
ripetere	46
riso	85
rispondere	48
risposta	49
ristorante	36
ritornare	10
rosso	10
sabato	10
sale	1345
saluto	40
sapere	10
scarpa	149
scrivere	10
scuola	36
scusare	10
secondo	10
sedia	10
segreteria	321
sempre	10
sera	10
sete	51
settembre	10
settimana	597
sigaretta	30
significare	10
signora	91
signore	286
simpatico	64
singolo	640
sinistra	149
soggiorno	65
soldo	58
sole	109
sonno	79
sopra	132
sorella	10
sotto	10
spaghetto	177
spedire	64
spesa	56
spesso	10
spiaggia	44
sporco	49
sport	76
sposare	42
stanco	10
stare	10
stazione	260
stop	703
strada	222
straniero	233
stretto	552
studente	10
studentessa	10
studiare	128
su	10
suonare	159
supermercato	38
svegliarsi	10
tanto	10
tardi	10
tavolo	57
taxi	10
teatro	695
telefonare	10
telefono	59
televisione	299
tornare	10
treno	37
triste	46
troppo	10
trovare	10
tuo	10
turista	49
tutto	10
tv	337
ufficio	153
uomo	109
uovo	74
uscire	53
vacanza	34
valigia	56
vecchio	67
vedersi	32
venire	10
verde	10
verdura	10
vero	37
vestito	44
via	174
viaggiare	92
viaggio	105
vicino	128
vino	162
visitare	52
visto	10
vivere	34
volere	822
zaino	41
zucchero	68
abbastanza	10
abbonamento	92
abbracciare	112
abbraccio	10
accendere	64
accendino	10
accompagnare	50
accordo	56
acquistare	37
addormentarsi	10
adulta	124
adulto	426
affittare	48
affitto	46
aiutare	39
aiuto	37
alcuno	10
alimentari	45
allegro	45
allora	10
altro	10
alzarsi	10
amaro	57
ancora	10
anello	253
annoiarsi	10
anticipo	164
antico	165
antipasto	10
antipatico	10
anziana	10
anziano	10
aperitivo	10
appena	10
appetito	51
arancia	10
arancione	205
argento	165
aria	175
armadio	61
arrabbiarsi	10
arrivo	82
arrosto	10
articolo	121
ascensore	97
asciugamano	10
asciugare	10
asciugarsi	45
attraversare	60
aula	380
auto	49
automobile	10
autostrada	41
azzurro	72
baciare	59
baffo	43
balcone	10
bambola	62
banana	54
banco	120
barba	10
barca	39
basso	115
benvenuto	277
benzina	96
bibita	39
biblioteca	285
biglietteria	71
bisogno	10
bistecca	10
bocca	83
bosco	70
braccio	53
brutto	41
buio	102
burro	10
calcio	452
calmo	10
camminare	10
campeggio	10
camper	10
cantina	76
capo	282
cappello	44
carota	10
casalinga	225
casalingo	255
cassa	172
cattivo	45
cavallo	95
centimetro	91
chiaro	169
chiedere	60
chilo	53
chilometro	174
cielo	59
cioccolato	10
circa	47
cognata	10
cognato	10
collana	271
collega	109
collina	45
colorare	55
commessa	35
commesso	10
comodino	52
comodo	64
compito	10
completo	105
complimento	10
concerto	228
confine	73
congratulazione	10
conoscere	10
contento	10
continuare	10
contorno	165
conversazione	47
coperta	150
coppia	1756
corpo	416
correggere	77
correre	174
costo	81
cotone	54
credere	10
crema	102
crociera	332
cucinare	47
cugina	10
cugino	10
cultura	280
cuscino	71
debole	148
dente	88
dentifricio	59
dettato	82
dialogo	95
dimenticare	10
dimenticarsi	10
dipingere	52
dipinto	87
direttore	110
direttrice	75
discoteca	274
disegnare	90
dispiacere	47
distributore	118
dito	10
ditta	117
divano	10
diverso	64
divertente	58
divertimento	45
divertirsi	38
divorziare	10
dizionario	154
dogana	113
dolce	512
dritto	168
economia	73
elegante	76
elementare	140
entrata	316
erba	70
errore	60
esame	275
esempio	131
est	10
etto	62
faccia	37
fattoria	33
febbre	53
femminile	576
fermarsi	10
fermo	312
ferro	102
fetta	54
fiammifero	43
fidanzata	10
fidanzato	10
fine	10
firma	218
firmare	10
fiume	50
foglio	68
formaggio	10
fornello	52
forno	49
forse	10
forte	70
fortuna	103
frase	10
freezer	1265
frequentare	127
fresco	120
frigorifero	10
fronte	681
fulmine	70
fuoco	55
gamba	10
garage	123
gas	105
gelato	62
genero	10
genitore	55
geografia	53
ghiaccio	97
ginnastica	107
giocattolo	79
gioco	724
giornalista	217
girare	142
giro	591
gita	38
giusto	10
grado	10
grasso	55
gratis	77
grigio	32
guanto	55
guida	361
guidare	55
idea	38
impermeabile	97
impiegata	36
impiegato	102
impossibile	38
incontrarsi	10
indossare	73
infermiera	141
infermiere	47
ingegnere	118
iniziare	10
inizio	10
insalata	10
insieme	47
intorno	196
inutile	42
invitare	44
isola	1382
lampada	62
lana	56
lasciare	10
