2	abitare	Indicativo	Presente	abito	abiti	abita	abitiamo	abitate	abitano
2	abitare	Indicativo	Passato Prossimo	ho abitato	hai abitato	ha abitato	abbiamo abitato	avete abitato	hanno abitato
2	abitare	Indicativo	Imperfetto	abitavo	abitavi	abitava	abitavamo	abitavate	abitavano
2	abitare	Indicativo	Trapassato Prossimo	avevo abitato	avevi abitato	aveva abitato	avevamo abitato	avevate abitato	avevano abitato
2	abitare	Indicativo	Passato Remoto	abitai	abitasti	abitò	abitammo	abitaste	abitarono
2	abitare	Indicativo	Futuro Semplice	abiterò	abiterai	abiterà	abiteremo	abiterete	abiteranno
2	abitare	Indicativo	Futuro Anteriore	avrò abitato	avrai abitato	avrà abitato	avremo abitato	avrete abitato	avranno abitato
2	abitare	Congiuntivo	Presente	abiti	abiti	abiti	abitiamo	abitiate	abitino
2	abitare	Congiuntivo	Passato	abbia abitato	abbia abitato	abbia abitato	abbiamo abitato	abbiate abitato	abbiano abitato
2	abitare	Congiuntivo	Imperfetto	abitassi	abitassi	abitasse	abitassimo	abitaste	abitassero
2	abitare	Congiuntivo	Trapassato	avessi abitato	avessi abitato	avesse abitato	avessimo abitato	aveste abitato	avessero abitato
2	abitare	Condizionale	Presente	abiterei	abiteresti	abiterebbe	abiteremmo	abitereste	abiterebbero
2	abitare	Condizionale	Passato	avrei abitato	avresti abitato	avrebbe abitato	avremmo abitato	avreste abitato	avrebbero abitato
2	abitare	Infinito	Presente	/	abitare
2	abitare	Infinito	Passato	/	avere abitato
2	abitare	Gerundio	Presente	/	abitando
2	abitare	Gerundio	Passato	/	avendo abitato
17	amare	Indicativo	Presente	amo	ami	ama	amiamo	amate	amano
17	amare	Indicativo	Passato Prossimo	ho amato	hai amato	ha amato	abbiamo amato	avete amato	hanno amato
17	amare	Indicativo	Imperfetto	amavo	amavi	amava	amavamo	amavate	amavano
17	amare	Indicativo	Trapassato Prossimo	avevo amato	avevi amato	aveva amato	avevamo amato	avevate amato	avevano amato
17	amare	Indicativo	Passato Remoto	amai	amasti	amò	amammo	amaste	amarono
17	amare	Indicativo	Futuro Semplice	amerò	amerai	amerà	ameremo	amerete	ameranno
17	amare	Indicativo	Futuro Anteriore	avrò amato	avrai amato	avrà amato	avremo amato	avrete amato	avranno amato
17	amare	Congiuntivo	Presente	ami	ami	ami	amiamo	amiate	amino
17	amare	Congiuntivo	Passato	abbia amato	abbia amato	abbia amato	abbiamo amato	abbiate amato	abbiano amato
17	amare	Congiuntivo	Imperfetto	amassi	amassi	amasse	amassimo	amaste	amassero
17	amare	Congiuntivo	Trapassato	avessi amato	avessi amato	avesse amato	avessimo amato	aveste amato	avessero amato
17	amare	Condizionale	Presente	amerei	ameresti	amerebbe	ameremmo	amereste	amerebbero
