abitare	Indicativo	Presente	abito	abiti	abita	abitiamo	abitate	abitano
abitare	Indicativo	Passato Prossimo	ho abitato	hai abitato	ha abitato	abbiamo abitato	avete abitato	hanno abitato
abitare	Indicativo	Imperfetto	abitavo	abitavi	abitava	abitavamo	abitavate	abitavano
abitare	Indicativo	Trapassato Prossimo	avevo abitato	avevi abitato	aveva abitato	avevamo abitato	avevate abitato	avevano abitato
abitare	Indicativo	Passato Remoto	abitai	abitasti	abitò	abitammo	abitaste	abitarono
abitare	Indicativo	Futuro Semplice	abiterò	abiterai	abiterà	abiteremo	abiterete	abiteranno
abitare	Indicativo	Futuro Anteriore	avrò abitato	avrai abitato	avrà abitato	avremo abitato	avrete abitato	avranno abitato
abitare	Congiuntivo	Presente	abiti	abiti	abiti	abitiamo	abitiate	abitino
abitare	Congiuntivo	Passato	abbia abitato	abbia abitato	abbia abitato	abbiamo abitato	abbiate abitato	abbiano abitato
abitare	Congiuntivo	Imperfetto	abitassi	abitassi	abitasse	abitassimo	abitaste	abitassero
abitare	Congiuntivo	Trapassato	avessi abitato	avessi abitato	avesse abitato	avessimo abitato	aveste abitato	avessero abitato
abitare	Condizionale	Presente	abiterei	abiteresti	abiterebbe	abiteremmo	abitereste	abiterebbero
abitare	Condizionale	Passato	avrei abitato	avresti abitato	avrebbe abitato	avremmo abitato	avreste abitato	avrebbero abitato
abitare	Infinito	Presente	/	abitare
abitare	Infinito	Passato	/	avere abitato
abitare	Gerundio	Presente	/	abitando
abitare	Gerundio	Passato	/	avendo abitato
amare	Indicativo	Presente	amo	ami	ama	amiamo	amate	amano
amare	Indicativo	Passato Prossimo	ho amato	hai amato	ha amato	abbiamo amato	avete amato	hanno amato
amare	Indicativo	Imperfetto	amavo	amavi	amava	amavamo	amavate	amavano
amare	Indicativo	Trapassato Prossimo	avevo amato	avevi amato	aveva amato	avevamo amato	avevate amato	avevano amato
amare	Indicativo	Passato Remoto	amai	amasti	amò	amammo	amaste	amarono
amare	Indicativo	Futuro Semplice	amerò	amerai	amerà	ameremo	amerete	ameranno
amare	Indicativo	Futuro Anteriore	avrò amato	avrai amato	avrà amato	avremo amato	avrete amato	avranno amato
amare	Congiuntivo	Presente	ami	ami	ami	amiamo	amiate	amino
amare	Congiuntivo	Passato	abbia amato	abbia amato	abbia amato	abbiamo amato	abbiate amato	abbiano amato
amare	Congiuntivo	Imperfetto	amassi	amassi	amasse	amassimo	amaste	amassero
amare	Congiuntivo	Trapassato	avessi amato	avessi amato	avesse amato	avessimo amato	aveste amato	avessero amato
amare	Condizionale	Presente	amerei	ameresti	amerebbe	ameremmo	amereste	amerebbero
amare	Condizionale	Passato	avrei amato	avresti amato	avrebbe amato	avremmo amato	avreste amato	avrebbero amato
amare	Infinito	Presente	/	amare
amare	Infinito	Passato	/	avere amato
amare	Gerundio	Presente	/	amando
amare	Gerundio	Passato	/	avendo amato
andare	Indicativo	Presente	vado	vai	vaa	andiamo	andate	vanno
andare	Indicativo	Passato Prossimo	sono andato	sei andato	è andato	siamo andati	siete andati	sono andati
andare	Indicativo	Imperfetto	andavo	andavi	andava	andavamo	andavate	andavano
andare	Indicativo	Trapassato Prossimo	ero andato	eri andato	era andato	eravamo andato	eravate andato	erano andato
andare	Indicativo	Passato Remoto	andai	andasti	andò	andammo	andaste	andarono
andare	Indicativo	Futuro Semplice	andrò	andrai	andrà	andremo	andrete	andranno
andare	Indicativo	Futuro Anteriore	sarò andato	sarai andato	sarà andato	saremo andato	sarete andato	saranno andato
andare	Congiuntivo	Presente	vada	vada	vada	andiamo	andiate	vadano
